"rowname","Estimate.x","Std. Error.x","t value.x","Estimate.y","Std. Error.y","t value.y","Estimate.x.x","Std. Error.x.x","t value.x.x","Estimate.y.y","Std. Error.y.y","t value.y.y"
"(Intercept)",-7040.444,2527.061,-2.786,-24.822,19.535,-1.271,-3759.554,1553.925,-2.419,-2618.755,622.908,-4.204
"daySunday",23.993,14.089,1.703,-0.133,0.151,-0.885,14.018,8.251,1.699,-1376.838,710.084,-1.939
"locHW",5344.896,3233.481,1.653,56.742,26.447,2.145,4511.136,2089.422,2.159,-1488.848,559.984,-2.659
"pressure",7.069,2.489,2.84,0.025,0.019,1.323,3.788,1.525,2.484,2.533,0.609,4.161
"wind",5.459,2.23,2.447,0.022,0.019,1.142,1.856,0.994,1.867,5.516,1.002,5.506
"cloudiness",6.812,4.255,1.601,0.03,0.038,0.793,NA,NA,NA,3.379,0.896,3.773
"locHW:pressure",-5.412,3.197,-1.693,-0.055,0.026,-2.127,-4.47,2.05,-2.18,1.458,0.549,2.655
"temp",NA,NA,NA,0.057,0.028,2.065,2.305,2.986,0.772,-0.395,1.002,-0.394
"locHW:temp",NA,NA,NA,-0.115,0.038,-3.019,-7.086,4.134,-1.714,2.431,1.446,1.681
"locHW:wind",NA,NA,NA,-0.059,0.026,-2.256,NA,NA,NA,NA,NA,NA
"locHW:cloudiness",NA,NA,NA,-0.106,0.052,-2.052,NA,NA,NA,NA,NA,NA
"daySunday:locHW",NA,NA,NA,0.383,0.203,1.889,NA,NA,NA,-8.009,4.52,-1.772
"daySunday:wind",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.325,0.616,2.152
"daySunday:pressure",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.277,0.692,1.845
"daySunday:cloudiness",NA,NA,NA,NA,NA,NA,NA,NA,NA,12.755,2.427,5.255
