Typ;Lokalita;GPS N;GPS E;Latitude;Longitude
highway;1D8H1;50°19'9.346''; 14°18'35.392'';50.319263;14.309831
highway;1D8H2;50°19'17.814''; 14°18'24.737'';50.321615;14.306871
highway;1D8H3;50°19'23.390''; 14°18'15.757'';50.323164;14.304377
highway;1D8H4;50°19'32.548''; 14°17'58.777'';50.325708;14.29966
agricultural;1D8T1;50°21'56.572''; 14°19'35.771'';50.365714;14.326603
agricultural;1D8T2;50°21'47.505''; 14°19'39.759'';50.363196;14.327711
agricultural;1D8T3;50°22'15.616''; 14°19'40.280'';50.371004;14.327856
agricultural;1D8T5;50°22'11.933''; 14°19'2.487'';50.369981;14.317358
highway;2D7H1;50°11'46.705''; 14°9'42.311'';50.196307;14.161753
highway;2D7H2;50°11'41.735''; 14°10'6.895'';50.194926;14.168582
highway;2D7H3;50°11'36.648''; 14°10'21.099'';50.193513;14.172528
highway;2D7H4;50°11'33.421''; 14°10'31.060'';50.192617;14.175294
highway;2D7H5;50°11'26.374''; 14°10'43.950'';50.190659;14.178875
agricultural;2D7T1;50°13'34.165''; 14°14'23.198'';50.226157;14.239777
agricultural;2D7T2;50°13'31.941''; 14°14'38.570'';50.225539;14.244047
agricultural;2D7T3;50°13'24.133''; 14°14'42.201'';50.22337;14.245056
agricultural;2D7T4;50°13'17.936''; 14°14'24.975'';50.221649;14.240271
agricultural;2D7T5;50°13'13.791''; 14°14'8.434'';50.220498;14.235676
agricultural;2D7T5;50°13'17.936''; 14°14'24.975'';50.221649;14.240271
highway;3D8H1;50°13'53.003''; 14°23'52.602'';50.23139;14.397945
highway;3D8H2;50°14'1.681''; 14°23'41.614'';50.2338;14.394893
highway;3D8H3;50°14'12.526''; 14°23'23.702'';50.236813;14.389917
agricultural;3D8T1;55°17'24.298''; 14°26'16.048'';55.290083;14.437791
agricultural;3D8T2;55°15'12.309''; 14°25'45.400'';55.253419;14.429278
agricultural;3D8T3;55°15'9.562''; 14°25'15.732'';55.252656;14.421037
highway;4D7H1;50°8'5.594''; 14°15'0.366'';50.134887;14.250102
highway;4D7H2;50°8'20.119''; 14°14'26.672'';50.138922;14.240742
agricultural;4D7T1;50°9'0.837''; 14°15'29.455'';50.150233;14.258182
agricultural;4D7T2;50°8'55.089''; 14°15'48.294'';50.148636;14.263415
agricultural;4D7T3;50°8'51.453''; 14°16'5.023'';50.147626;14.268062
highway;5D6H1;50°5'59.346''; 14°10'18.931'';50.099818;14.171925
highway;5D6H2;50°5'57.605''; 14°10'40.763'';50.099335;14.17799
highway;5D6H3;50°5'55.462''; 14°10'55.035'';50.098739;14.181954
agricultural;5D6T1;50°4'15.339''; 14°8'29.394'';50.070928;14.141498
agricultural;5D6T2;50°4'14.548''; 14°8'12.312'';50.070708;14.136753
agricultural;5D6T3;50°4'11.168''; 14°7'49.819'';50.069769;14.130505
highway;6D6H1;"50°6'8.062""";" 14°7'57.187""";50.102239;14.132552
highway;6D6H2;"50°7'3.166""";" 14°3'44.597""";50.117546;14.062388
agricultural;6D6T1;"50°6'52.724""";" 14°3'35.298""";50.114646;14.059805
agricultural;6D6T2;"50°7'3.166""";" 14°3'44.597""";50.117546;14.062388
agricultural;6D6T3;"50°7'10.196""";" 14°3'44.409""";50.119499;14.062336
